Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
94102,30140.0,41.5,33552.0,43488.0,6957.0,23.08228268082283
94103,26990.0,38.8,49052.0,55807.0,5870.0,21.74879585031493
94104,436.0,51.3,48429.0,64267.0,84.0,19.26605504587156
94105,7675.0,37.6,199364.0,154723.0,733.0,9.550488599348535
94107,29920.0,35.9,143467.0,87735.0,3391.0,11.33355614973262
94108,14856.0,42.8,55341.0,51359.0,3178.0,21.39203015616586
94109,56587.0,36.9,79979.0,75460.0,6718.0,11.871984731475427
94110,73737.0,36.6,109747.0,59660.0,7321.0,9.928529774739955
94111,3356.0,46.1,99464.0,88610.0,661.0,19.69606674612634
94112,85373.0,41.4,82692.0,31905.0,7750.0,9.077811486067024
94114,34561.0,40.4,143902.0,100685.0,2075.0,6.003877202627239
94115,35751.0,36.0,103625.0,76686.0,4531.0,12.673771363038796
94116,47708.0,42.9,101746.0,50165.0,4006.0,8.396914563595205
94117,43610.0,33.6,132979.0,76623.0,3464.0,7.943132309103417
94118,41417.0,37.4,102021.0,65842.0,3930.0,9.488857232537363
94121,43638.0,43.7,87001.0,52321.0,3913.0,8.966955405838947
94122,62516.0,39.5,102838.0,51615.0,5924.0,9.475974150617441
94123,25461.0,34.4,134809.0,104926.0,1182.0,4.642394250029457
94124,35492.0,35.3,55823.0,26061.0,7529.0,21.213231150681843
94127,21093.0,45.0,151094.0,72905.0,1065.0,5.049068411321292
94128,126.0,53.2,-666666666.0,13552.0,73.0,57.93650793650794
94129,4019.0,29.4,190167.0,81974.0,122.0,3.0355809902960935
94130,3129.0,25.8,52143.0,18012.0,1561.0,49.88814317673378
94131,29056.0,41.5,119924.0,75754.0,1676.0,5.768171806167401
94132,31155.0,33.2,72970.0,34028.0,5124.0,16.446798266730863
94133,26942.0,43.0,66422.0,58461.0,4314.0,16.012174300348896
94134,43074.0,40.2,71352.0,28790.0,5048.0,11.719366671309839
